,﻿origin,geocode_name,lat,lng,country,city,adm1,adm2
120,Сарни,"Sarny, Rivnens'ka oblast, Ukraine",51.337222,26.605833,Ukraine,Sarny,Rivnens'ka oblast,Sarnens'kyi district
121,м. Квідзин,"Kwidzyn, Poland",53.72635289999999,18.932304300000002,Poland,Kwidzyn,Pomeranian Voivodeship,Kwidzyn County
122,м. Херсон,"Kherson, Khersons'ka oblast, Ukraine",46.635417,32.616867,Ukraine,Kherson,Khersons'ka oblast,
123,ТЕРНОПІЛЬ,"Ternopil, Ternopil's'ka oblast, Ukraine",49.553517,25.594767,Ukraine,Ternopil,Ternopil's'ka oblast,
124,Каховка,"Kakhovka, Khersons'ka oblast, Ukraine",46.8,33.466667,Ukraine,Kakhovka,Khersons'ka oblast,
125,ХМЕЛЬНИЦЬКИЙ,"Khmelnytskyi, Khmel'nyts'ka oblast, Ukraine",49.422983,26.987133,Ukraine,Khmelnytskyi,Khmel'nyts'ka oblast,
126,Lwiw,"Lviv, Lviv Oblast, Ukraine",49.839683,24.029717,Ukraine,Lviv,Lviv Oblast,
127,м.Одеса,"Odessa, Odessa Oblast, Ukraine",46.482526,30.723309499999996,Ukraine,Odessa,Odessa Oblast,
128,Белая Церковь Киевская обл.,"Bila Tserkva, Kyivs'ka oblast, Ukraine",49.798889,30.115278000000004,Ukraine,Bila Tserkva,Kyivs'ka oblast,
129,Біла Церква,"Bila Tserkva, Kyivs'ka oblast, Ukraine",49.798889,30.115278000000004,Ukraine,Bila Tserkva,Kyivs'ka oblast,
130,Turin,"Turin, Italy",45.070312,7.686856499999998,Italy,Turin,Piedmont,Turin
131,Кременчуг,"Kremenchuk, Poltavs'ka oblast, Ukraine",49.065783,33.410033,Ukraine,Kremenchuk,Poltavs'ka oblast,
132,Вишгород,"Vyshhorod, Kyivs'ka oblast, Ukraine",50.5904776,30.4831982,Ukraine,Vyshhorod,Kyivs'ka oblast,Vyshhorods'kyi district
133,Odessa,"Odessa, Odessa Oblast, Ukraine",46.482526,30.723309499999996,Ukraine,Odessa,Odessa Oblast,
134,"Полтава
","Poltava, Poltavs'ka oblast, Ukraine",49.58826699999999,34.551417,Ukraine,Poltava,Poltavs'ka oblast,
135,Запорожье,"Zaporizhia, Zaporiz'ka oblast, Ukraine",47.8388,35.139567,Ukraine,Zaporizhia,Zaporiz'ka oblast,
136,Боярка,"Boyarka, Kyivs'ka oblast, Ukraine",50.317116999999996,30.298167,Ukraine,Boyarka,Kyivs'ka oblast,Kyjevo-Svyatoshyns'kyi district
137,"м. Новодружеськ, Луганська обл. ","Novodruzhes'k, Luhans'ka oblast, Ukraine",48.966667,38.35,Ukraine,Novodruzhes'k,Luhans'ka oblast,
138,Малин,"Malyn, Zhytomyrs'ka oblast, Ukraine",50.76888899999999,29.27,Ukraine,Malyn,Zhytomyrs'ka oblast,
139,Чернигов,"Chernihiv, Chernihivs'ka oblast, Ukraine",51.4982,31.28935,Ukraine,Chernihiv,Chernihivs'ka oblast,
140,м. Чернігів,"Chernihiv, Chernihivs'ka oblast, Ukraine",51.4982,31.28935,Ukraine,Chernihiv,Chernihivs'ka oblast,
141,м.Запоріжжя,"Zaporizhia, Zaporiz'ka oblast, Ukraine",47.8388,35.139567,Ukraine,Zaporizhia,Zaporiz'ka oblast,
142,місто Тараща Київської області ,"Tarashcha, Kyivs'ka oblast, Ukraine",49.55,30.5,Ukraine,Tarashcha,Kyivs'ka oblast,Tarashchans'kyi district
143,николаев,"Mykolaiv, Mykolaivs'ka oblast, Ukraine",46.975033,31.994583000000002,Ukraine,Mykolaiv,Mykolaivs'ka oblast,
144,Кривий Ріг,"Kryvyi Rih, Dnipropetrovsk Oblast, Ukraine",47.910483,33.391783000000004,Ukraine,Kryvyi Rih,Dnipropetrovsk Oblast,
145,"м. Дніпропетровськ, ж.м. Придніпровськ","Pridniprovsk, Dnepropetrovsk, Dnipropetrovsk Oblast, Ukraine",48.403472,35.136744,Ukraine,Dnepropetrovsk,Dnipropetrovsk Oblast,
146,"Iллiчiвськ, Одеська область","Illichivs'k, Odessa Oblast, Ukraine",46.2952236,30.648085499999997,Ukraine,Illichivs'k,Odessa Oblast,
147,"Україна,Львів","Lviv, Lviv Oblast, Ukraine",49.839683,24.029717,Ukraine,Lviv,Lviv Oblast,
148,м. Миколаїв,"Mykolaiv, Mykolaivs'ka oblast, Ukraine",46.975033,31.994583000000002,Ukraine,Mykolaiv,Mykolaivs'ka oblast,
149,м. Київ  ,"Kyiv, Kyiv city, Ukraine",50.4501,30.5234,Ukraine,Kyiv,Kyiv city,Kyiv City
150,смт. Чечельник,"Chechel'nyk, Vinnyts'ka oblast, Ukraine",48.217,29.35,Ukraine,Chechel'nyk,Vinnyts'ka oblast,Chechel'nyts'kyi district
151,Рівне ,"Rivne, Rivnens'ka oblast, Ukraine",50.6199,26.251617,Ukraine,Rivne,Rivnens'ka oblast,
152,м. Світловодськ,"Svitlovods'k, Kirovohrads'ka oblast, Ukraine",49.050278000000006,33.241944000000004,Ukraine,Svitlovods'k,Kirovohrads'ka oblast,
153,Глеваха,"Hlevakha, Kyivs'ka oblast, Ukraine",50.262221999999994,30.289444,Ukraine,Hlevakha,Kyivs'ka oblast,Vasyl'kivs'kyi district
154,Zp,"Z.P, Sheraval Kh., Maharashtra 415727, India",17.7007212,73.31774890000001,India,Sheraval Kh.,Maharashtra,Ratnagiri
155,м.Львів,"Lviv, Lviv Oblast, Ukraine",49.839683,24.029717,Ukraine,Lviv,Lviv Oblast,
156,м.Lviv,"Lviv, Lviv Oblast, Ukraine",49.839683,24.029717,Ukraine,Lviv,Lviv Oblast,
157,"Чернiвцi
","Chernivtsi, Chernivets'ka oblast, Ukraine",48.2920787,25.9358367,Ukraine,Chernivtsi,Chernivets'ka oblast,
158,м. Черкаси,"Cherkasy, Cherkas'ka oblast, Ukraine",49.444433000000004,32.059767,Ukraine,Cherkasy,Cherkas'ka oblast,
159,М.Київ,"Kyiv, Kyiv city, Ukraine",50.4501,30.5234,Ukraine,Kyiv,Kyiv city,Kyiv City
160,м.Чернігів,"Chernihiv, Chernihivs'ka oblast, Ukraine",51.4982,31.28935,Ukraine,Chernihiv,Chernihivs'ka oblast,
161,м. Запоріжжя,"Zaporizhia, Zaporiz'ka oblast, Ukraine",47.8388,35.139567,Ukraine,Zaporizhia,Zaporiz'ka oblast,
162,Чернігів,"Chernihiv, Chernihivs'ka oblast, Ukraine",51.4982,31.28935,Ukraine,Chernihiv,Chernihivs'ka oblast,
163,Коростень,"Korosten', Zhytomyrs'ka oblast, Ukraine",50.95,28.633333,Ukraine,Korosten',Zhytomyrs'ka oblast,
164,"Україна , Луганська область , місто Кремінна","Kreminna, Luhans'ka oblast, Ukraine",49.05,38.2167,Ukraine,Kreminna,Luhans'ka oblast,Kremins'kyi district
165,м.Бровари,"Brovary, Kyivs'ka oblast, Ukraine",50.511083,30.7909,Ukraine,Brovary,Kyivs'ka oblast,
166,м. Чернівці,"Chernivtsi, Chernivets'ka oblast, Ukraine",48.2920787,25.9358367,Ukraine,Chernivtsi,Chernivets'ka oblast,
167,м. Тернопіль,"Ternopil, Ternopil's'ka oblast, Ukraine",49.553517,25.594767,Ukraine,Ternopil,Ternopil's'ka oblast,
168,м. Вишневе,"Vyshneve, Kyivs'ka oblast, Ukraine",50.3919,30.368267,Ukraine,Vyshneve,Kyivs'ka oblast,Kyjevo-Svyatoshyns'kyi district
169,м. Бориспіль,"Boryspil', Kyivs'ka oblast, Ukraine",50.3482,30.95615,Ukraine,Boryspil',Kyivs'ka oblast,
170,"Киев
","Kyiv, Kyiv city, Ukraine",50.4501,30.5234,Ukraine,Kyiv,Kyiv city,Kyiv City
171,місто Львів,"Lviv, Lviv Oblast, Ukraine",49.839683,24.029717,Ukraine,Lviv,Lviv Oblast,
172,"Калуш
","Kalush, Ivano-Frankivs'ka oblast, Ukraine",49.04416699999999,24.359722,Ukraine,Kalush,Ivano-Frankivs'ka oblast,
173,Пекін,"Beijing, Beijing, China",39.90403,116.407526,China,Beijing,Beijing,
174,Фастів,"Fastiv, Kyivs'ka oblast, Ukraine",50.083333,29.916666999999997,Ukraine,Fastiv,Kyivs'ka oblast,
175,Кременчук,"Kremenchuk, Poltavs'ka oblast, Ukraine",49.065783,33.410033,Ukraine,Kremenchuk,Poltavs'ka oblast,
176,Iwano-Frankiwsk,"Ivano-Frankivsk, Ivano-Frankivs'ka oblast, Ukraine",48.922633000000005,24.711117,Ukraine,Ivano-Frankivsk,Ivano-Frankivs'ka oblast,
177,Тернопіль/Катовіце,"Katowice, Poland",50.26489189999999,19.023781500000002,Poland,Katowice,Silesian Voivodeship,Katowice
178,м. Нетішин,"Netishyn, Khmel'nyts'ka oblast, Ukraine",50.33397309999999,26.650084399999997,Ukraine,Netishyn,Khmel'nyts'ka oblast,
179,м.Чернівці,"Chernivtsi, Chernivets'ka oblast, Ukraine",48.2920787,25.9358367,Ukraine,Chernivtsi,Chernivets'ka oblast,
180,"Kyiv, Zhitomir","Zhytomyr, Zhytomyrs'ka oblast, Ukraine",50.25465,28.658666999999998,Ukraine,Zhytomyr,Zhytomyrs'ka oblast,
181,"Kiev (Ukraine), Szczecin (Poland)","Szczecin, Poland",53.4285438,14.5528116,Poland,Szczecin,West Pomeranian Voivodeship,Szczecin
182,Kharkiv ,"Kharkiv, Kharkiv Oblast, Ukraine",49.9935,36.230383,Ukraine,Kharkiv,Kharkiv Oblast,
183,"м.Старобыльськ, Луганська обл.","Starobil's'k, Luhans'ka oblast, Ukraine",49.2833,38.9167,Ukraine,Starobil's'k,Luhans'ka oblast,Starobil's'kyi district
184,Kyev,"Kyiv, Kyiv city, Ukraine",50.4501,30.5234,Ukraine,Kyiv,Kyiv city,Kyiv City
185,г. Харьков,"Kharkiv, Kharkiv Oblast, Ukraine",49.9935,36.230383,Ukraine,Kharkiv,Kharkiv Oblast,
186,"Київ,раніше Донецьк","Donetsk, Donetsk Oblast, Ukraine",48.015883,37.80285,Ukraine,Donetsk,Donetsk Oblast,
187,м.Івано-Франківськ,"Ivano-Frankivsk, Ivano-Frankivs'ka oblast, Ukraine",48.922633000000005,24.711117,Ukraine,Ivano-Frankivsk,Ivano-Frankivs'ka oblast,
188,м.Прилуки,"Pryluky, Chernihivs'ka oblast, Ukraine",50.59999999999999,32.4,Ukraine,Pryluky,Chernihivs'ka oblast,
189,Новомосковськ,"Novomoskovs'k, Dnipropetrovsk Oblast, Ukraine",48.633333,35.216667,Ukraine,Novomoskovs'k,Dnipropetrovsk Oblast,
