year_of_birth,gender,level_of_education,mailing_address
1985,m,m,м. Суми
1981,m,m,Київ
1971,m,m,м. Львів
1982,f,b,Киев
1981,f,m,Lviv
1993,f,b,Rb]d
1976,f,m,Харьков
1991,f,m,Харьков
None,m,m,Kiev
None,,,
1993,m,jhs,м.Харків
1980,m,m, Киев
1993,f,b,
1988,m,m,м. Харків
1992,m,b,Харків
1969,m,b,Киев
1988,m,m,"Одеська обл, Великомихайлівський р-н, с. Новоселівка"
1992,m,b,Київ
1974,m,m,Харків
1976,m,m,Николаев
1980,m,m,
1986,m,m,Киев
1975,m,p,Kharkiv
1991,f,a,Київ
1981,m,m,Київ
1984,m,m,м. Бровари
1979,m,m,с. Проліски
1986,f,b,Львів
1977,m,m,Київ
1984,f,m,Киев
1980,f,m,"м.Олександрія, Кіровоградська обл."
1996,f,a,Одеса
1984,f,m,
1993,f,b,Київ
1991,f,m,Одеса
1990,f,m,Київ
1990,f,m,місто Київ
1990,f,m,Одеса
1988,f,b,
1979,f,m,Kiev
1984,f,m,Kiev
1984,f,m,Kiev
1994,f,a,Київ
1986,f,m,Харків
1986,f,m,місто Київ
1996,f,a,Kyiv
1974,m,a,Київ
1980,f,m,Kyiv
None,m,b,
None,m,m,
1983,m,m,Київ
1972,f,m,Київ
1990,m,a,Черкаси
1989,f,m,Київ
1984,f,a,м. Вінниця
1982,f,p,
1975,f,b,Kyiv
1994,f,a,Київ
1978,m,m,
1990,m,m,
None,m,m,
1980,m,m,kiev
1988,m,b,Krasnodon
1980,m,m,Житомир
None,m,b,Київ
1990,m,m,м.Житомир
1994,m,a,Харків
1966,m,m,Рівне
1984,m,m,"м. Кременчук, Полтавська обл."
1978,m,m,
1987,m,m,Київ
1985,m,m,м. Київ
1990,m,m,Одеса
1979,m,m,Кривий Ріг 
1984,m,m,Київ
1988,m,m,Киев
1986,f,m,Харьков
1986,m,p,Київ
1979,m,m,Херсон
1997,f,a,Київ 
1978,m,m,"Гвадалахара, Мексика"
1989,m,m,Kiev
None,m,m,
1989,m,m,м. Харків
1989,m,m,Киев
1994,m,a,Київ
1959,m,m,Одеса
1973,m,m,Киев
1984,m,m,Вінниця
1997,m,el,"м.Камінь-Каширський, (Волинська обл.)"
1991,m,m,Київ
1988,m,m,Харьков
1986,m,m,
1987,f,m,
1996,f,a,Київ
1986,f,m,Киев
1991,f,m,Одеса
1978,f,m,Kiev
None,f,m,
1990,f,m,Київ
1995,m,,Харків
1991,f,m,Київ
1985,m,b,Dnipropetrovsk
1989,m,m,Луцьк
1974,m,m,м. Макіївка
1990,m,hs,Черкаська  область  Катеринопільський  район  село  Ярошівка
1982,m,a,Запоріжжя
1983,m,b,Київ
1993,m,b,
1995,m,a,Kiev
1969,f,m,Київ
1978,m,m,Винница
1975,m,m,Kharkiv
1962,m,m,"Україна, Одеса"
1985,m,m,Kyiv
1983,m,m,
1979,m,m,Ірпінь 
1991,m,m,
1975,m,m,м. Одеса
1967,m,m,Миколаїв
1993,m,a,Дніпропетровськ
1979,m,b,м.Дніпропетровськ
1990,m,m,Дніпропетровськ
1979,m,hs,
1974,m,m,Київ
1995,m,a,Київ
1995,m,a,Київ
1977,m,m,Київ
1979,m,m,Киев
1989,m,m,
1995,m,a,
1987,m,m,"м. Ужгород, Закарпатська обл."
1981,m,m,Киев
1978,m,m,Київ
1987,m,m,Харків
1983,f,m,Kyiv
1983,m,m,Київ
1983,m,m,Київ
1975,m,m,Одеса
1988,m,m,Kiev
1980,f,m,Melitopol
1991,m,b,Київ
1986,m,m,
1995,m,a,
1980,m,m,Kyiv
1982,f,m,Kyiv
1981,m,m,Олександрія
1974,m,m,Львів
1991,f,m,м. Київ
1988,m,a,Киев
1996,m,hs,
1995,m,a,Lutsk
1996,m,hs,
1989,m,m,м.Рівне
1993,m,a,Доброполье
1965,m,m,місто Київ
1982,m,m,Переяслав-хмельницький
1993,m,b,Київ
1980,m,a,Київ
1994,m,jhs,Київ
1978,m,m,Київ
1982,m,m,Киів
1975,m,m,Київ
1955,m,m,Київ
1976,m,m,Київ
1985,f,m,
1985,m,m,Irpin
1983,m,m,м. Вінниця
None,m,m,
1987,m,m,Херсон
None,f,a,Lviv
1968,m,m,Вінниця
1993,m,a,Шостка
1997,m,hs,Київ
1982,m,m,
1983,m,p,м. Харків
1987,m,m,Kyiv
1993,m,b,Днiпропетровськ 
1990,m,m,Київ
None,,,
1983,m,m,Київ
None,,,
1969,m,m,Kyiv
1994,m,a,Київ
1989,m,m,Киев
1984,m,m,Нікополь
1983,m,m,
1984,m,m,Київ
1990,m,m,Donetsk
1974,m,m,м.Київ
1969,m,m,Львів
1993,f,b,Одеса
1982,m,m,Харкiв
1986,m,m,с. Бистричі
1991,m,m,Київ
1977,m,m,Дніпропетровськ
1990,f,m,Київ
1986,m,m,Бердичів
1976,m,m,Київ
1980,m,m,Одеса
1977,m,b,Харків
1988,m,m,Київ
1995,m,jhs,
1984,m,m,Київ
1960,f,m,Киев
1994,m,a,Київ
1979,m,m,Киев
1988,f,m,Киів
1993,f,a,Токмак
1990,f,m,
1994,f,a,Donetsk
1992,f,m,Киев
1987,f,m,Київ
1974,f,m,
1980,f,p,Lviv
1994,f,a,Одесса
1991,f,b,Івано-Франківськ
1984,f,m,м. Краснодон
1996,f,jhs,Київ
1982,m,a,"Украина, город Кривой Рог"
1975,f,m,Київ
1988,m,m,Черкаси
None,,,
None,f,m,
1990,f,m,Київ
1993,f,a,м. Буча
1985,f,m,
1993,f,b,Дніпропетровськ
1988,f,m,Львів
1991,f,m,Київ
1991,f,m,Київ
1991,f,b,Київ
1990,f,m,Харків
1999,f,none,"Одеса,село Великий Дальник"
1997,f,hs,м.Київ
1994,f,a,Київ
1987,f,m,Київ
1995,f,hs,Київ
1993,f,b,м.Одесса
None,f,m,Київ
1991,f,m,Київ
1994,f,a,
1990,f,m,Харьков
1980,f,m,Київ
1993,f,b,Луцьк
1989,f,m,Киев
1990,f,m,Київ
1989,f,m,м.Луцьк
None,,,
1992,f,b,Київ
1995,f,a,м.Острог
1996,f,other,
1985,f,m,Київ
1993,f,b,Київ
1987,f,b,Ivano-Frankivsk
1995,f,hs,Краматорськ
1997,f,hs,Київ
None,f,,
None,,,
1987,f,m,г. Днепродзержинск
None,f,b,
1993,f,b,Суми
1990,f,m,Київ
1990,f,m,Київ
1996,f,hs,
1994,f,a,Kyiv
1987,f,a,New York
1988,f,m,Васильків
1988,f,m,Киев
1983,f,m,м. Київ
1992,f,b,
1995,f,jhs,Сарни
1993,f,m,м. Київ
1987,f,m,м. Квідзин
1964,f,hs,м. Херсон
1993,f,b,місто Красноармыйськ
1993,f,b,Київ
1988,f,m,Одеса
1989,f,m,Київ
1994,f,a,м. Львів
1996,f,a,ТЕРНОПІЛЬ
1988,f,m,Каховка
1988,f,a,Київ
1983,f,m,Київ
None,,,
1992,f,b,ХМЕЛЬНИЦЬКИЙ
1992,m,b,Київ
1980,m,m,Київ
1992,m,m,Львів
1973,f,p,Lwiw
1970,f,m,киів
1983,f,m,Київ
1965,f,m,м.Одеса
1970,f,m,Белая Церковь Киевская обл.
1973,f,p,Львів
1984,f,m,Киев
1980,f,m,Київ
1969,f,jhs,"Украина, Киевская обл., Фастовский р-н, пос.Боровая"
1970,f,m,Київ
1971,f,p,Біла Церква
1989,f,m,Киев
1973,f,a,Київ
1980,f,m,Ужгород
1977,f,a,Kiev
1985,f,m,Turin
1994,f,a,Львів
1980,f,b,Кременчуг
1991,f,m,м. Київ
1980,f,m,Київ
1983,f,jhs,Вишгород
1980,f,m,Київ
1994,f,a,м. Київ
1983,f,m,Київ
1976,f,p,Харків
1990,f,m,Київ
1980,f,p,Тернопіль
1992,f,a,Odessa
1989,f,m,"Полтава
"
1970,m,m,Киев
1971,m,m,м. Київ
1977,m,m,Киів
1989,m,other,Запорожье
1992,f,b,
1995,,a,Kyiv
1984,m,m,Киев
1996,f,hs,Львів
1983,m,m,Киев
1977,f,m,Київ 
1986,f,m,Киев
1995,m,a,Одеса
1985,m,m,Kiev
1984,f,m,Киев
None,f,m,Черкаси
1983,f,p,м.Київ
1991,m,m,
1963,m,m,Боярка
1995,m,a,Київ
1976,f,m,Львів
1993,m,m,"м. Новодружеськ, Луганська обл. "
1973,m,m,Суми
1976,m,p,Рівне
1989,f,m,Київ
1984,m,m,Киев
1978,m,m,Київ
1980,f,m,Київ
1979,m,,
1981,f,m,Бровари
1996,f,jhs,
None,,,
1989,f,m,Київ
1988,m,m,Kyiv
1990,f,m,Київ
1995,f,a,Київ
1983,m,a,Малин
1988,f,m,Київ
1987,f,m,
1984,f,m,Lviv
1985,f,m,Київ
1983,f,m,Kyiv
1976,f,m,Чернигов
1978,m,m,м. Київ
1988,f,m,Київ
1983,f,m,Київ 
1992,f,a,
1991,f,m,м. Чернігів
1994,f,a,Київ
1989,f,m,Київ 
None,f,m,
1980,f,m,м.Запоріжжя
1982,f,m,Київ
1994,f,b,Київ
1988,f,m,Kyiv
1985,f,m,Kharkiv
1992,f,m,Львів
1980,f,m,Київ
1975,f,m,Київ
1992,f,a,Краматорськ
1975,m,m,
1967,m,m,Харків
1990,f,b,Львів
1987,f,m,Киев
1994,f,a,
1991,f,m,м. Київ
1986,f,m,Київ
None,,b,
1985,f,m,Львів
1972,f,m,Харьків
1986,f,m,
1991,f,m,Херсон
1987,f,m,
1993,f,a,Київ
None,,,місто Тараща Київської області 
1981,m,m,
1986,m,m,Lviv
1986,f,a,николаев
1981,m,m,Кривий Ріг
1991,f,m,Одеса
1994,f,a,Харків
1982,m,m,Київ
1992,m,a,Київ
1982,f,m,Dnipropetrovsk
1987,f,m,"м. Дніпропетровськ, ж.м. Придніпровськ"
1983,m,a,Odessa
1993,m,b,
None,m,a,
1997,m,none,Село Корделівка Калинівського району Вінницької області
1989,f,m,Запоріжжя
None,,,
1989,f,m,
1986,f,m,Kiev
1983,f,m,Kharkiv
1992,f,m,Івано-Франківськ
1992,f,b,"Iллiчiвськ, Одеська область"
1992,f,m,Одесса
1995,f,a,Київ
1991,f,m,Київ 
1988,m,m,Бориспіль
1995,f,a,Київ
1999,f,hs,"Україна,Львів"
1981,f,,Kyiv
1996,f,a,Київ
1992,f,b,Київ
1990,f,m,Київ
1992,f,b,Київ
1993,f,a,м. Миколаїв
1990,f,m,Львів
1993,f,a,Львів
1991,f,m,
1998,f,hs,м. Київ  
1999,f,none,смт. Чечельник
1985,f,m,Вінниця
2000,f,none,Рівне 
1991,f,m,Київ
1993,f,b,Одеса
1995,f,hs,Дніпропетровськ
1991,f,m,Київ
1994,f,b,м. Львів
1995,f,a,
1972,f,m,Киев
1987,f,m,Тернопіль
1984,f,m,Київ
1982,f,m,Київ
1993,f,b,м. Світловодськ
1976,f,m,
1993,f,b,м. Київ
None,f,b,м. Київ
1987,f,m,місто Київ
1986,f,m,Глеваха
1994,f,a,м. Львів
1993,f,b,Kiev
1991,f,m,Київ
1991,f,m,Zp
1994,f,a,Київ
1987,f,m,Кіїв
1993,f,m,
1994,f,b,м.Львів
1987,f,m,м.Lviv
1997,f,a,Kyiv
1987,f,b,Київ
1993,f,b,Київ
1994,f,a,Харків
1996,f,a,Київ
1978,f,m,Kyiv
1995,f,a,Київ
1996,f,a,Київ
1995,f,hs,Київ
1982,f,m,"Чернiвцi
"
1993,f,a,Київ
1990,f,m,Київ
1996,f,hs,Київ
1987,f,m,Кривий Ріг
1997,f,hs,м. Черкаси
1992,f,m,М.Київ
1990,f,m,м.Київ
1992,f,m,Дніпропетровськ
1996,f,a,м.Чернігів
1996,f,hs,
1996,f,a,Київ
1996,f,hs,Київ
1993,f,m,м. Запоріжжя
1980,m,b,Київ
1993,m,b,Київ
1969,m,m,Київ
1985,m,m,Київ
1998,m,hs,Чернігів
1982,f,m,Киев
1979,m,m,Kyiv
1986,m,m,Kyiv
1986,m,m,Львів
1991,f,m,Київ
1994,m,a,Львів
1988,m,p,
1985,m,m,м. Бровари
1977,m,m,Коростень
1985,m,m,Донецьк
1996,m,a,Київ
1992,f,m,Киев
1978,f,m,м.Київ
1972,m,a,"Україна , Луганська область , місто Кремінна"
1990,m,m,Kyiv
1990,m,m,Одеса
1985,m,m,Киъв
1971,m,a,
1976,m,m,Київ
1974,m,m,м.Бровари
1987,m,m,Луцьк
1983,m,m,Львів
1981,m,b,
1978,m,p,Київ
1973,m,m,Львів
1994,m,a,
1977,m,m,Київ
1978,m,p,Київ
1984,m,m,Київ
1990,m,m,Lviv
1966,m,hs,м. Чернівці
1981,m,p,м. Тернопіль
1994,m,a,м. Вишневе
1985,m,hs,Киев
1984,m,m,Київ
1994,m,a,Тернопіль
1990,m,m,
1995,m,hs,
1989,m,m,Київ
1997,m,a,Київ
1988,m,m,Київ
1990,m,a,Вінниця
1983,m,m,Львів
1987,m,m,Киев
1982,m,m,Dnipropetrovsk
1986,m,m,Харків
1992,m,b,
1980,m,a,Краматорськ
1983,m,m,Суми
1989,m,m,Харьков
1986,m,m,м. Бориспіль
1976,m,m,м. Полтава
1983,m,m,Київ 
1988,m,m,м. Харків
1985,m,m,Київ
1986,m,m,Київ
1969,m,m,м.Київ
1986,m,p,Суми
1993,m,b,Київ
1994,m,a,Київ
1989,m,hs,"Киев
"
1989,m,m,Київ
1998,m,hs,Суми
1981,m,m,Кіїв
1985,m,m,Харьков
1980,m,m,м. Харкiв
1996,m,a,
1982,m,m,місто Львів
1987,f,m,Львів
1996,f,hs,Львів
1999,f,,місто Львів
None,,,
1994,m,a,Київ
1981,m,m,
1990,m,b,
1984,m,m,Кіровоград
1988,m,m,
1982,m,b,
1969,m,m,Kiev
1976,m,m,Чернігів
1988,m,m,Київ
1987,m,m,"Калуш
"
1986,m,m,
1986,m,m,Пекін
1991,m,m,Kyiv
1982,m,p,Київ
1979,m,,Рівне
1973,m,m,м. Київ
1993,m,b,Київ
1990,m,m,Фастів
None,,,
1982,m,m,Kiev
1992,f,m,Тернопіль
1994,m,hs,
1982,m,m,Київ
1979,m,m,Кременчук
1984,m,m,
1980,m,m,Івано-Франківськ
1972,m,p,Львів
1989,m,m,Iwano-Frankiwsk
1992,m,b,Тернопіль/Катовіце
1981,m,m,
1992,m,m,Lutsk
1989,m,m,Івано-Франківськ
1978,m,m,м. Київ
1975,m,b,
1996,m,m,Київ
1978,m,m,м.Київ
1984,m,m,Київ
1991,m,m,Львів
1995,m,a,м. Нетішин
1981,m,m,Івано-Франківськ
1990,m,m,
1966,m,jhs,Чернівці
1988,m,b,Lviv
1992,m,m,Чернівці
1979,m,m,Київ
1977,m,m,Lviv
1993,m,b,Київ
1995,m,a,м. Львів
1994,m,a,
1986,m,m,Одеса
1984,m,m,Львів
1964,m,m,Харків
1993,m,b,Луцьк
1969,m,m,Львів
1967,m,m,м.Чернівці
1991,m,m,Львів
1987,m,m,Львів
1987,m,m,м.Чернівці
1990,m,m,Львів
1991,m,a,Дрогобич
1991,m,m,"Kyiv, Zhitomir"
1984,m,m,"Kiev (Ukraine), Szczecin (Poland)"
1980,m,m,Kharkiv 
1983,f,m,Харків
1992,m,b,Дніпропетровськ
1973,f,m,Київ
1991,m,m,"м.Старобыльськ, Луганська обл."
1978,m,m,Kyev
1995,m,a,Київ
1982,m,m,
1989,m,m,Kiev
1982,m,m,Харків
1988,f,m,Київ
1989,m,b,Бердичів
1972,m,m,Київ
1986,m,m,Київ
1984,m,m,Киев
1988,m,m,Тернопіль
1970,m,m,Київ
1982,m,m,г. Харьков
1963,m,m,Дніпропетровськ
1977,m,m,Суми
1986,f,m,м. Київ
1983,f,b,"Київ,раніше Донецьк"
1988,m,m,Київ
1974,f,a,м.Київ
1991,f,m,Київ
1994,f,other,Харків
1996,f,a,м.Івано-Франківськ
1985,f,m,м.Прилуки
1994,f,a,Київ
1986,f,m,м. Чернівці
1988,f,m,Київ
1993,f,b,Новомосковськ
1984,f,,
1991,f,m,Київ
1989,f,m,Kiev
1980,f,p,м.Донецьк
1971,f,m,"м.Славутич, Київська обл."
1990,m,m,Київ
1982,f,m,Київ
1984,f,m,місто Одеса
1974,m,m,
1985,f,m,Київ
1976,m,m,
1994,f,b,місто Харків
1997,f,hs,м.Тернопіль
1992,f,m,Київ
1985,f,m,kiev
1982,f,b,Київ
1994,f,other,
1985,f,m,Київ
1993,m,b,Kuznetsovsk
1992,f,m,Київ
1971,f,m,Київ
1980,f,m,Киев
1992,f,b,Київ
1994,f,a,
None,,m,
None,f,,
1983,f,m,київ
1995,f,hs,Київ
1983,f,m,Kyiv
None,,,
1997,f,hs,Лисичанськ Луганської області
1988,f,m,Київ/Кембрідж
1988,m,m,м. Вінниця
1996,m,a,Київ
1976,m,m,kiev
1986,m,m,
1990,f,b,Kiev
1991,f,m,Черкаси
1972,m,m,Київ
1991,f,m,Київ
1976,f,jhs,Днепродзержинск
1998,f,hs,Львів
1995,f,a,Вінниця
1994,f,a,місто Запоріжжя
1989,f,m,
1991,f,m,Київ
1979,f,m,Запоріжжя
1979,f,m,Дніпропетровськ
None,f,m,
1989,f,a,Киев
1996,f,a,Одесса
1984,f,m,Київ
1986,f,m,Ужгород
1994,f,a,Харків
1978,f,p,
1986,f,m,
1973,f,m,м.Запоріжжя
1981,f,m,Київ
1984,f,m,
None,,,
None,,m,
1977,f,p,Харків
1993,f,m,Kiev
1996,f,jhs,
None,f,m,
1995,f,a,Kiev
1987,f,m,"Чернівці, Україна"
1988,f,m,Київ
1979,f,m,Lviv
1987,f,m,Київ
1992,f,m,Lugansk
1985,f,m,Kiev
1987,f,m,
1980,f,p,
1982,f,m,Kiyv
1998,f,none,Запоріжжя
None,,,
None,f,m,
1994,f,b,Миколаїв
1969,f,m,
1993,f,b,Одесса
1989,f,m,Киев
1996,f,a,Київ
1991,f,m,Київ
1983,f,b,Київ
1990,f,m,Київ
1992,f,b,Київ
1996,f,a,
1989,f,b,
1982,f,m,Київ
1990,f,m,Донецьк
1989,f,m,Житомир
1994,f,b,Київ
1985,f,m,Katowice
1981,f,m,Kyiv
1992,f,a,м.Острог
1981,f,p,Київ
1987,f,m,Kharkov
1989,f,m,Київ
1988,f,m,Пiсочин
1983,f,m,
None,f,,
1989,f,m,
1986,f,m,Kyiv
1987,f,m,м. Дніпропетровськ
1993,f,m,Львів
1981,f,m,Київ
1997,f,a,Київ
1990,f,m,м. Донецьк
1986,f,m,"Донецька область, м. Слов'янськ"
1992,f,b,Івано-Франківськ
1987,f,p,Киів
1985,f,m,Kiev 
1994,f,a,Kyiv
1980,f,m,Харкiв
1992,f,b,Kiyv
1982,f,m,Kiev
1979,f,m,
1981,f,m,Kyiv
1981,f,m,Киев
1983,f,m,Dnipropetrovsk
1996,f,jhs,Львів
1981,f,b,Винница
1978,f,m,Київ
1990,f,m,м. Чернівці
1974,f,m,
None,,m,Киев
1994,f,a,Киів
1991,f,m,Київ
1980,f,b,Киев
1996,f,hs,м.Світловодськ
1993,o,b,
1978,f,m,Одеса
1982,f,m,Одеса
1981,f,m,Kyiv
1996,f,a,Львів
1991,f,m,Київ
1980,f,m,Миколаїв
1982,f,m,Dnepropetrovsk 
1984,f,m,Донецьк
1986,f,m,Київ
1987,f,m,Одесса
1988,f,m,
1995,f,a,Київ
1992,f,b,
1987,f,m,Київ
1988,f,m,Крим 
None,f,m,
1989,m,m,Киев
1981,f,m,Київ
2014,f,m,Київ
1991,f,m,Київ
1989,f,m,Київ
1984,f,m,Донецька обл. м. Краматорськ
1987,f,b,Київ
1989,f,m,Київ
1983,f,m,Kiev
1993,f,b,місто Київ
1979,f,m,Київ
1982,f,m,
1988,f,m,Київ
1978,f,m,Киев
1991,f,m,Київ
1985,f,m,Київ
1989,f,m,Кривий Ріг
1993,f,b,Київ
1976,f,a,Харків
1994,f,a,Kyiv
1990,f,m,Київ
1994,f,a,Київ
1989,f,m,киев
1989,f,m,Київ
1993,f,hs,Днепропетровск
1986,f,m,Київ
1992,f,b,Київ
1987,f,m,м. Дніпропетровськ
1993,f,b,Житомир
1990,f,m,Київ
1991,f,a,Рим
1988,f,m,
1996,f,hs,м.Прилуки
1991,f,m,Рівне
1992,f,b,Kyiv
1993,f,b,Запоріжжя
1995,f,a,Киев
1997,f,hs,Київ
1990,f,m,м.Одеса
None,f,a,
1995,f,b,Київ
1985,f,m,Донецьк
1982,f,m,Киев
1985,f,m,Київ
1983,f,m,Львів
1981,f,m,Київ
1982,f,m,Запоріжжя
1994,f,a,м. Київ
1995,f,jhs,Суми
1985,f,b,Обухов
1988,f,m,Суми
1997,f,,
1981,f,m,м.Київ
1996,f,a,
1995,f,a,м.Запоріжжя
1977,f,b,Запоріжжя
1988,f,m,Київ
1984,f,m,Київ
1986,f,m,Київ
1990,f,m,Київ
1982,f,m,Дніпропетровськ
1997,f,hs,
1985,f,m,Київ
1996,f,a,Киев
1996,f,hs,Львов
1996,f,hs,Львов
1984,f,m,
1994,f,a,Київ
1990,f,m,м. Київ
1992,f,m,м. Южне
1969,m,m,Киев
1992,m,b,Kyiv
1975,m,m,Kyiv
1991,m,m,Львів
1989,m,m,
1989,f,m,Киїі
None,m,,
1990,m,hs,м. Кривий Ріг
1975,f,jhs,Днепродзержинск
1993,m,b,
1988,m,m,Київ
1983,m,hs,Riga
1988,m,m,Lviv
1986,f,m,Київ
1993,m,a,М. Вінниця
1973,m,m,Київ
1987,m,m,
1985,m,m,Червонозаводське
1990,m,el,Дніпродзержинськ
1984,m,m,Київ
1990,m,m,Днепропетровск
1999,m,el,Олександрія
1995,m,a,м. Черкаси
1984,m,m,Kyiv
1993,m,a,Київ
1978,f,m,м.Київ
1978,f,m,Lviv
1982,f,m,"м.Нікополь, Дніпропетровська обл."
1966,f,other,Київ
1979,f,m,Львів
1994,f,a,Київ
1982,m,b,Миколаїв    
1983,m,m,Донецк
1998,m,hs,Київ
1993,m,a,Київ
1993,m,b,Дніпропетровськ
1991,m,b,Kyev
1992,m,a,"Vinnitsa, Ukraine"
1988,f,m,Київ
1993,m,b,
1986,m,m,
1994,m,a,Київ
1988,m,m,Киев
1991,m,m,Kiev
1986,m,m,Дніпропетровськ
1996,m,a,Бровары 
1985,m,m,Дніпропетровськ
1989,m,hs,Київ
1995,m,jhs,Полтава
None,,m,
1992,m,a,Львів
1987,m,m,Kyiv
1991,f,a,Kyiv
1986,m,m,Київ
1990,f,m,Одеса
1981,f,a,Kharkov
1993,f,a,Черныгів
1994,f,a,Київ
1986,f,m,м.Львів
1985,f,m,Київ
1985,m,m,Львів
1980,m,m,
1977,f,a, Київ
1984,f,m,Kiev
1992,f,m,Київ
1995,f,a,"Україна, Харків"
1990,f,m,Київ
1986,f,m,Київ
1980,f,m,Київ
1990,f,m,Warsaw. Ternopil
1998,f,hs,Київ
1992,f,m,
2014,f,b,м.Дніпропетровськ
1997,f,hs,Біла Церква
None,f,m,Житомир
1977,f,m,киев
1966,f,m,Київ
1985,f,jhs,Київ
1996,f,hs,Київ
1969,f,m,місто Луцьк
1976,f,m,Київ
1986,f,m,Kiev
1991,m,a,Київ
1986,f,a,"Боярка, Київської обл."
1983,m,m,Київ
1991,m,b,Kharkiv
1988,m,m,
1981,m,m,Київ
1995,f,jhs,Київ
1976,m,m,Днiпропетровськ
1990,f,m,місто Суми
1993,f,b,"Харків, Україна"
1991,m,m,
1994,f,a,м. Ірпінь
1981,f,m,Київ
1995,f,a,Київ
None,,,
1966,f,m,Київ
1987,f,m,м. Хмельницький
1986,m,m,Київ
1985,m,m,Київ
1980,f,m,Львів
1975,f,jhs,
1999,f,hs,м. Луцьк
None,,,
1988,m,m,Київ
1970,m,m,Київ
1988,f,m,Одеса
1994,m,a,
